Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M09;730
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M08;689
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M07;921
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M06;689
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M05;638
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M04;529
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M03;664
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M02;589
Viviendas: Total;Total Nacional;04 Balears, Illes;;2009M01;675
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M12;740
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M11;819
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M10;932
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M09;996
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M08;832
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M07;1.017
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M06;1.116
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M05;1.099
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M04;1.240
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M03;947
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M02;1.248
Viviendas: Total;Total Nacional;04 Balears, Illes;;2008M01;1.380
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M12;1.082
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M11;1.428
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M10;1.312
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M09;1.732
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M08;1.448
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M07;1.467
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M06;1.495
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M05;2.115
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M04;1.791
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M03;1.939
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M02;2.094
Viviendas: Total;Total Nacional;04 Balears, Illes;;2007M01;2.595
Viviendas: Total;Total Nacional;05 Canarias;;2024M03;2.221
Viviendas: Total;Total Nacional;05 Canarias;;2024M02;1.680
Viviendas: Total;Total Nacional;05 Canarias;;2024M01;2.215
Viviendas: Total;Total Nacional;05 Canarias;;2023M12;1.462
Viviendas: Total;Total Nacional;05 Canarias;;2023M11;1.795
Viviendas: Total;Total Nacional;05 Canarias;;2023M10;1.736
Viviendas: Total;Total Nacional;05 Canarias;;2023M09;1.590
Viviendas: Total;Total Nacional;05 Canarias;;2023M08;2.085
Viviendas: Total;Total Nacional;05 Canarias;;2023M07;1.931
Viviendas: Total;Total Nacional;05 Canarias;;2023M06;2.509
Viviendas: Total;Total Nacional;05 Canarias;;2023M05;2.239
Viviendas: Total;Total Nacional;05 Canarias;;2023M04;1.731
Viviendas: Total;Total Nacional;05 Canarias;;2023M03;2.676
Viviendas: Total;Total Nacional;05 Canarias;;2023M02;1.910
Viviendas: Total;Total Nacional;05 Canarias;;2023M01;2.186
Viviendas: Total;Total Nacional;05 Canarias;;2022M12;1.730
Viviendas: Total;Total Nacional;05 Canarias;;2022M11;2.214
Viviendas: Total;Total Nacional;05 Canarias;;2022M10;2.184
Viviendas: Total;Total Nacional;05 Canarias;;2022M09;2.655
Viviendas: Total;Total Nacional;05 Canarias;;2022M08;2.803
Viviendas: Total;Total Nacional;05 Canarias;;2022M07;2.362
Viviendas: Total;Total Nacional;05 Canarias;;2022M06;2.626
Viviendas: Total;Total Nacional;05 Canarias;;2022M05;2.772
Viviendas: Total;Total Nacional;05 Canarias;;2022M04;2.024
Viviendas: Total;Total Nacional;05 Canarias;;2022M03;2.358
Viviendas: Total;Total Nacional;05 Canarias;;2022M02;2.171
Viviendas: Total;Total Nacional;05 Canarias;;2022M01;2.077
Viviendas: Total;Total Nacional;05 Canarias;;2021M12;1.934
Viviendas: Total;Total Nacional;05 Canarias;;2021M11;2.002
Viviendas: Total;Total Nacional;05 Canarias;;2021M10;1.590
Viviendas: Total;Total Nacional;05 Canarias;;2021M09;1.940
Viviendas: Total;Total Nacional;05 Canarias;;2021M08;1.763
Viviendas: Total;Total Nacional;05 Canarias;;2021M07;1.904
Viviendas: Total;Total Nacional;05 Canarias;;2021M06;1.791
Viviendas: Total;Total Nacional;05 Canarias;;2021M05;1.787
Viviendas: Total;Total Nacional;05 Canarias;;2021M04;1.495
Viviendas: Total;Total Nacional;05 Canarias;;2021M03;1.753
Viviendas: Total;Total Nacional;05 Canarias;;2021M02;1.396
Viviendas: Total;Total Nacional;05 Canarias;;2021M01;1.446
Viviendas: Total;Total Nacional;05 Canarias;;2020M12;1.231
Viviendas: Total;Total Nacional;05 Canarias;;2020M11;1.473
Viviendas: Total;Total Nacional;05 Canarias;;2020M10;1.372
Viviendas: Total;Total Nacional;05 Canarias;;2020M09;1.366
Viviendas: Total;Total Nacional;05 Canarias;;2020M08;1.411
Viviendas: Total;Total Nacional;05 Canarias;;2020M07;1.177
Viviendas: Total;Total Nacional;05 Canarias;;2020M06;1.061
Viviendas: Total;Total Nacional;05 Canarias;;2020M05;661
Viviendas: Total;Total Nacional;05 Canarias;;2020M04;860
Viviendas: Total;Total Nacional;05 Canarias;;2020M03;1.684
Viviendas: Total;Total Nacional;05 Canarias;;2020M02;1.663
Viviendas: Total;Total Nacional;05 Canarias;;2020M01;2.980
Viviendas: Total;Total Nacional;05 Canarias;;2019M12;1.499
Viviendas: Total;Total Nacional;05 Canarias;;2019M11;1.546
Viviendas: Total;Total Nacional;05 Canarias;;2019M10;1.682
Viviendas: Total;Total Nacional;05 Canarias;;2019M09;1.400
Viviendas: Total;Total Nacional;05 Canarias;;2019M08;1.326
Viviendas: Total;Total Nacional;05 Canarias;;2019M07;2.527
Viviendas: Total;Total Nacional;05 Canarias;;2019M06;1.767
Viviendas: Total;Total Nacional;05 Canarias;;2019M05;2.093
Viviendas: Total;Total Nacional;05 Canarias;;2019M04;2.175
Viviendas: Total;Total Nacional;05 Canarias;;2019M03;1.783
Viviendas: Total;Total Nacional;05 Canarias;;2019M02;1.662
Viviendas: Total;Total Nacional;05 Canarias;;2019M01;1.856
Viviendas: Total;Total Nacional;05 Canarias;;2018M12;1.442
Viviendas: Total;Total Nacional;05 Canarias;;2018M11;1.920
Viviendas: Total;Total Nacional;05 Canarias;;2018M10;1.805
Viviendas: Total;Total Nacional;05 Canarias;;2018M09;1.744
Viviendas: Total;Total Nacional;05 Canarias;;2018M08;2.199
Viviendas: Total;Total Nacional;05 Canarias;;2018M07;2.098
Viviendas: Total;Total Nacional;05 Canarias;;2018M06;2.194
Viviendas: Total;Total Nacional;05 Canarias;;2018M05;2.191
Viviendas: Total;Total Nacional;05 Canarias;;2018M04;2.247
Viviendas: Total;Total Nacional;05 Canarias;;2018M03;1.954
Viviendas: Total;Total Nacional;05 Canarias;;2018M02;2.078
Viviendas: Total;Total Nacional;05 Canarias;;2018M01;2.352
Viviendas: Total;Total Nacional;05 Canarias;;2017M12;1.648
Viviendas: Total;Total Nacional;05 Canarias;;2017M11;1.875
Viviendas: Total;Total Nacional;05 Canarias;;2017M10;1.886
Viviendas: Total;Total Nacional;05 Canarias;;2017M09;1.788
Viviendas: Total;Total Nacional;05 Canarias;;2017M08;2.064
Viviendas: Total;Total Nacional;05 Canarias;;2017M07;2.156
Viviendas: Total;Total Nacional;05 Canarias;;2017M06;2.479
Viviendas: Total;Total Nacional;05 Canarias;;2017M05;2.045
Viviendas: Total;Total Nacional;05 Canarias;;2017M04;1.761
Viviendas: Total;Total Nacional;05 Canarias;;2017M03;2.041
Viviendas: Total;Total Nacional;05 Canarias;;2017M02;1.559
Viviendas: Total;Total Nacional;05 Canarias;;2017M01;1.772
Viviendas: Total;Total Nacional;05 Canarias;;2016M12;1.511
Viviendas: Total;Total Nacional;05 Canarias;;2016M11;1.701
Viviendas: Total;Total Nacional;05 Canarias;;2016M10;1.586
Viviendas: Total;Total Nacional;05 Canarias;;2016M09;1.524
Viviendas: Total;Total Nacional;05 Canarias;;2016M08;1.778
Viviendas: Total;Total Nacional;05 Canarias;;2016M07;1.624
Viviendas: Total;Total Nacional;05 Canarias;;2016M06;2.037
Viviendas: Total;Total Nacional;05 Canarias;;2016M05;1.771
Viviendas: Total;Total Nacional;05 Canarias;;2016M04;1.690
Viviendas: Total;Total Nacional;05 Canarias;;2016M03;2.146
Viviendas: Total;Total Nacional;05 Canarias;;2016M02;1.581
Viviendas: Total;Total Nacional;05 Canarias;;2016M01;1.753
Viviendas: Total;Total Nacional;05 Canarias;;2015M12;1.349
Viviendas: Total;Total Nacional;05 Canarias;;2015M11;1.367
Viviendas: Total;Total Nacional;05 Canarias;;2015M10;1.594
Viviendas: Total;Total Nacional;05 Canarias;;2015M09;1.385
Viviendas: Total;Total Nacional;05 Canarias;;2015M08;1.475
Viviendas: Total;Total Nacional;05 Canarias;;2015M07;1.758
Viviendas: Total;Total Nacional;05 Canarias;;2015M06;1.756
Viviendas: Total;Total Nacional;05 Canarias;;2015M05;1.345
Viviendas: Total;Total Nacional;05 Canarias;;2015M04;1.556
Viviendas: Total;Total Nacional;05 Canarias;;2015M03;1.440
Viviendas: Total;Total Nacional;05 Canarias;;2015M02;1.342
Viviendas: Total;Total Nacional;05 Canarias;;2015M01;2.087
Viviendas: Total;Total Nacional;05 Canarias;;2014M12;1.257
Viviendas: Total;Total Nacional;05 Canarias;;2014M11;1.289
Viviendas: Total;Total Nacional;05 Canarias;;2014M10;1.662
Viviendas: Total;Total Nacional;05 Canarias;;2014M09;1.206
Viviendas: Total;Total Nacional;05 Canarias;;2014M08;1.253
Viviendas: Total;Total Nacional;05 Canarias;;2014M07;1.581
Viviendas: Total;Total Nacional;05 Canarias;;2014M06;1.454
Viviendas: Total;Total Nacional;05 Canarias;;2014M05;1.560
Viviendas: Total;Total Nacional;05 Canarias;;2014M04;1.627
Viviendas: Total;Total Nacional;05 Canarias;;2014M03;1.567
Viviendas: Total;Total Nacional;05 Canarias;;2014M02;1.306
Viviendas: Total;Total Nacional;05 Canarias;;2014M01;1.380
Viviendas: Total;Total Nacional;05 Canarias;;2013M12;1.116
Viviendas: Total;Total Nacional;05 Canarias;;2013M11;1.204
Viviendas: Total;Total Nacional;05 Canarias;;2013M10;1.132
Viviendas: Total;Total Nacional;05 Canarias;;2013M09;1.110
Viviendas: Total;Total Nacional;05 Canarias;;2013M08;1.139
Viviendas: Total;Total Nacional;05 Canarias;;2013M07;1.601
Viviendas: Total;Total Nacional;05 Canarias;;2013M06;1.543
Viviendas: Total;Total Nacional;05 Canarias;;2013M05;1.331
Viviendas: Total;Total Nacional;05 Canarias;;2013M04;1.444
Viviendas: Total;Total Nacional;05 Canarias;;2013M03;1.136
Viviendas: Total;Total Nacional;05 Canarias;;2013M02;1.149
Viviendas: Total;Total Nacional;05 Canarias;;2013M01;1.613
Viviendas: Total;Total Nacional;05 Canarias;;2012M12;1.162
Viviendas: Total;Total Nacional;05 Canarias;;2012M11;1.099
Viviendas: Total;Total Nacional;05 Canarias;;2012M10;1.187
Viviendas: Total;Total Nacional;05 Canarias;;2012M09;914
Viviendas: Total;Total Nacional;05 Canarias;;2012M08;1.337
Viviendas: Total;Total Nacional;05 Canarias;;2012M07;1.265
Viviendas: Total;Total Nacional;05 Canarias;;2012M06;1.295
Viviendas: Total;Total Nacional;05 Canarias;;2012M05;1.296
Viviendas: Total;Total Nacional;05 Canarias;;2012M04;962
Viviendas: Total;Total Nacional;05 Canarias;;2012M03;1.488
Viviendas: Total;Total Nacional;05 Canarias;;2012M02;1.169
Viviendas: Total;Total Nacional;05 Canarias;;2012M01;1.126
Viviendas: Total;Total Nacional;05 Canarias;;2011M12;858
Viviendas: Total;Total Nacional;05 Canarias;;2011M11;1.271
Viviendas: Total;Total Nacional;05 Canarias;;2011M10;1.039
Viviendas: Total;Total Nacional;05 Canarias;;2011M09;1.000
Viviendas: Total;Total Nacional;05 Canarias;;2011M08;1.363
Viviendas: Total;Total Nacional;05 Canarias;;2011M07;1.080
Viviendas: Total;Total Nacional;05 Canarias;;2011M06;1.124
Viviendas: Total;Total Nacional;05 Canarias;;2011M05;1.353
Viviendas: Total;Total Nacional;05 Canarias;;2011M04;1.203
Viviendas: Total;Total Nacional;05 Canarias;;2011M03;1.429
Viviendas: Total;Total Nacional;05 Canarias;;2011M02;1.821
Viviendas: Total;Total Nacional;05 Canarias;;2011M01;1.979
Viviendas: Total;Total Nacional;05 Canarias;;2010M12;1.275
Viviendas: Total;Total Nacional;05 Canarias;;2010M11;1.558
Viviendas: Total;Total Nacional;05 Canarias;;2010M10;1.445
Viviendas: Total;Total Nacional;05 Canarias;;2010M09;1.303
Viviendas: Total;Total Nacional;05 Canarias;;2010M08;1.503
Viviendas: Total;Total Nacional;05 Canarias;;2010M07;1.373
Viviendas: Total;Total Nacional;05 Canarias;;2010M06;1.434
Viviendas: Total;Total Nacional;05 Canarias;;2010M05;1.653
Viviendas: Total;Total Nacional;05 Canarias;;2010M04;1.321
Viviendas: Total;Total Nacional;05 Canarias;;2010M03;1.502
Viviendas: Total;Total Nacional;05 Canarias;;2010M02;1.308
Viviendas: Total;Total Nacional;05 Canarias;;2010M01;1.439
Viviendas: Total;Total Nacional;05 Canarias;;2009M12;1.230
Viviendas: Total;Total Nacional;05 Canarias;;2009M11;1.591
Viviendas: Total;Total Nacional;05 Canarias;;2009M10;1.281
Viviendas: Total;Total Nacional;05 Canarias;;2009M09;1.360
Viviendas: Total;Total Nacional;05 Canarias;;2009M08;1.409
Viviendas: Total;Total Nacional;05 Canarias;;2009M07;1.826
Viviendas: Total;Total Nacional;05 Canarias;;2009M06;1.343
Viviendas: Total;Total Nacional;05 Canarias;;2009M05;1.321
Viviendas: Total;Total Nacional;05 Canarias;;2009M04;1.321
Viviendas: Total;Total Nacional;05 Canarias;;2009M03;1.598
Viviendas: Total;Total Nacional;05 Canarias;;2009M02;2.164
Viviendas: Total;Total Nacional;05 Canarias;;2009M01;1.908
Viviendas: Total;Total Nacional;05 Canarias;;2008M12;1.303
Viviendas: Total;Total Nacional;05 Canarias;;2008M11;1.528
Viviendas: Total;Total Nacional;05 Canarias;;2008M10;1.814
Viviendas: Total;Total Nacional;05 Canarias;;2008M09;2.001
Viviendas: Total;Total Nacional;05 Canarias;;2008M08;1.764
Viviendas: Total;Total Nacional;05 Canarias;;2008M07;2.168
Viviendas: Total;Total Nacional;05 Canarias;;2008M06;2.023
Viviendas: Total;Total Nacional;05 Canarias;;2008M05;2.166
Viviendas: Total;Total Nacional;05 Canarias;;2008M04;2.634
Viviendas: Total;Total Nacional;05 Canarias;;2008M03;2.210
Viviendas: Total;Total Nacional;05 Canarias;;2008M02;2.538
Viviendas: Total;Total Nacional;05 Canarias;;2008M01;3.177
Viviendas: Total;Total Nacional;05 Canarias;;2007M12;1.965
Viviendas: Total;Total Nacional;05 Canarias;;2007M11;2.119
Viviendas: Total;Total Nacional;05 Canarias;;2007M10;2.417
Viviendas: Total;Total Nacional;05 Canarias;;2007M09;2.096
Viviendas: Total;Total Nacional;05 Canarias;;2007M08;2.354
Viviendas: Total;Total Nacional;05 Canarias;;2007M07;2.453
Viviendas: Total;Total Nacional;05 Canarias;;2007M06;2.607
Viviendas: Total;Total Nacional;05 Canarias;;2007M05;3.037
Viviendas: Total;Total Nacional;05 Canarias;;2007M04;2.265
Viviendas: Total;Total Nacional;05 Canarias;;2007M03;3.302
Viviendas: Total;Total Nacional;05 Canarias;;2007M02;3.278
Viviendas: Total;Total Nacional;05 Canarias;;2007M01;4.210
Viviendas: Total;Total Nacional;06 Cantabria;;2024M03;687
Viviendas: Total;Total Nacional;06 Cantabria;;2024M02;754
Viviendas: Total;Total Nacional;06 Cantabria;;2024M01;844
Viviendas: Total;Total Nacional;06 Cantabria;;2023M12;533
Viviendas: Total;Total Nacional;06 Cantabria;;2023M11;746
Viviendas: Total;Total Nacional;06 Cantabria;;2023M10;552
Viviendas: Total;Total Nacional;06 Cantabria;;2023M09;618
Viviendas: Total;Total Nacional;06 Cantabria;;2023M08;733
Viviendas: Total;Total Nacional;06 Cantabria;;2023M07;656
Viviendas: Total;Total Nacional;06 Cantabria;;2023M06;642
Viviendas: Total;Total Nacional;06 Cantabria;;2023M05;862
Viviendas: Total;Total Nacional;06 Cantabria;;2023M04;637
Viviendas: Total;Total Nacional;06 Cantabria;;2023M03;664
Viviendas: Total;Total Nacional;06 Cantabria;;2023M02;671
Viviendas: Total;Total Nacional;06 Cantabria;;2023M01;714
Viviendas: Total;Total Nacional;06 Cantabria;;2022M12;666
Viviendas: Total;Total Nacional;06 Cantabria;;2022M11;710
Viviendas: Total;Total Nacional;06 Cantabria;;2022M10;740
Viviendas: Total;Total Nacional;06 Cantabria;;2022M09;759
Viviendas: Total;Total Nacional;06 Cantabria;;2022M08;831
Viviendas: Total;Total Nacional;06 Cantabria;;2022M07;679
Viviendas: Total;Total Nacional;06 Cantabria;;2022M06;791
Viviendas: Total;Total Nacional;06 Cantabria;;2022M05;712
Viviendas: Total;Total Nacional;06 Cantabria;;2022M04;571
Viviendas: Total;Total Nacional;06 Cantabria;;2022M03;826
Viviendas: Total;Total Nacional;06 Cantabria;;2022M02;742
Viviendas: Total;Total Nacional;06 Cantabria;;2022M01;741
Viviendas: Total;Total Nacional;06 Cantabria;;2021M12;684
Viviendas: Total;Total Nacional;06 Cantabria;;2021M11;771
Viviendas: Total;Total Nacional;06 Cantabria;;2021M10;730
Viviendas: Total;Total Nacional;06 Cantabria;;2021M09;679
Viviendas: Total;Total Nacional;06 Cantabria;;2021M08;691
Viviendas: Total;Total Nacional;06 Cantabria;;2021M07;569
Viviendas: Total;Total Nacional;06 Cantabria;;2021M06;584
Viviendas: Total;Total Nacional;06 Cantabria;;2021M05;570
Viviendas: Total;Total Nacional;06 Cantabria;;2021M04;594
Viviendas: Total;Total Nacional;06 Cantabria;;2021M03;657
Viviendas: Total;Total Nacional;06 Cantabria;;2021M02;606
Viviendas: Total;Total Nacional;06 Cantabria;;2021M01;560
Viviendas: Total;Total Nacional;06 Cantabria;;2020M12;550
Viviendas: Total;Total Nacional;06 Cantabria;;2020M11;527
Viviendas: Total;Total Nacional;06 Cantabria;;2020M10;517
Viviendas: Total;Total Nacional;06 Cantabria;;2020M09;543
Viviendas: Total;Total Nacional;06 Cantabria;;2020M08;500
Viviendas: Total;Total Nacional;06 Cantabria;;2020M07;363
Viviendas: Total;Total Nacional;06 Cantabria;;2020M06;404
Viviendas: Total;Total Nacional;06 Cantabria;;2020M05;278
Viviendas: Total;Total Nacional;06 Cantabria;;2020M04;338
Viviendas: Total;Total Nacional;06 Cantabria;;2020M03;432
Viviendas: Total;Total Nacional;06 Cantabria;;2020M02;607
Viviendas: Total;Total Nacional;06 Cantabria;;2020M01;534
Viviendas: Total;Total Nacional;06 Cantabria;;2019M12;434
Viviendas: Total;Total Nacional;06 Cantabria;;2019M11;505
Viviendas: Total;Total Nacional;06 Cantabria;;2019M10;587
Viviendas: Total;Total Nacional;06 Cantabria;;2019M09;480
Viviendas: Total;Total Nacional;06 Cantabria;;2019M08;470
Viviendas: Total;Total Nacional;06 Cantabria;;2019M07;496
Viviendas: Total;Total Nacional;06 Cantabria;;2019M06;510
Viviendas: Total;Total Nacional;06 Cantabria;;2019M05;615
Viviendas: Total;Total Nacional;06 Cantabria;;2019M04;472
Viviendas: Total;Total Nacional;06 Cantabria;;2019M03;538
Viviendas: Total;Total Nacional;06 Cantabria;;2019M02;579
Viviendas: Total;Total Nacional;06 Cantabria;;2019M01;651
Viviendas: Total;Total Nacional;06 Cantabria;;2018M12;506
Viviendas: Total;Total Nacional;06 Cantabria;;2018M11;605
Viviendas: Total;Total Nacional;06 Cantabria;;2018M10;562
Viviendas: Total;Total Nacional;06 Cantabria;;2018M09;507
Viviendas: Total;Total Nacional;06 Cantabria;;2018M08;619
Viviendas: Total;Total Nacional;06 Cantabria;;2018M07;527
Viviendas: Total;Total Nacional;06 Cantabria;;2018M06;510
Viviendas: Total;Total Nacional;06 Cantabria;;2018M05;505
Viviendas: Total;Total Nacional;06 Cantabria;;2018M04;448
Viviendas: Total;Total Nacional;06 Cantabria;;2018M03;417
Viviendas: Total;Total Nacional;06 Cantabria;;2018M02;593
Viviendas: Total;Total Nacional;06 Cantabria;;2018M01;676
Viviendas: Total;Total Nacional;06 Cantabria;;2017M12;420
Viviendas: Total;Total Nacional;06 Cantabria;;2017M11;458
Viviendas: Total;Total Nacional;06 Cantabria;;2017M10;479
Viviendas: Total;Total Nacional;06 Cantabria;;2017M09;483
Viviendas: Total;Total Nacional;06 Cantabria;;2017M08;527
Viviendas: Total;Total Nacional;06 Cantabria;;2017M07;433
Viviendas: Total;Total Nacional;06 Cantabria;;2017M06;454
Viviendas: Total;Total Nacional;06 Cantabria;;2017M05;506
Viviendas: Total;Total Nacional;06 Cantabria;;2017M04;359
Viviendas: Total;Total Nacional;06 Cantabria;;2017M03;519
Viviendas: Total;Total Nacional;06 Cantabria;;2017M02;413
Viviendas: Total;Total Nacional;06 Cantabria;;2017M01;489
Viviendas: Total;Total Nacional;06 Cantabria;;2016M12;374
Viviendas: Total;Total Nacional;06 Cantabria;;2016M11;422
Viviendas: Total;Total Nacional;06 Cantabria;;2016M10;362
Viviendas: Total;Total Nacional;06 Cantabria;;2016M09;431
Viviendas: Total;Total Nacional;06 Cantabria;;2016M08;448
Viviendas: Total;Total Nacional;06 Cantabria;;2016M07;364
Viviendas: Total;Total Nacional;06 Cantabria;;2016M06;408
Viviendas: Total;Total Nacional;06 Cantabria;;2016M05;416
Viviendas: Total;Total Nacional;06 Cantabria;;2016M04;354
Viviendas: Total;Total Nacional;06 Cantabria;;2016M03;350
Viviendas: Total;Total Nacional;06 Cantabria;;2016M02;457
Viviendas: Total;Total Nacional;06 Cantabria;;2016M01;355
Viviendas: Total;Total Nacional;06 Cantabria;;2015M12;353
Viviendas: Total;Total Nacional;06 Cantabria;;2015M11;379
Viviendas: Total;Total Nacional;06 Cantabria;;2015M10;386
Viviendas: Total;Total Nacional;06 Cantabria;;2015M09;363
Viviendas: Total;Total Nacional;06 Cantabria;;2015M08;384
Viviendas: Total;Total Nacional;06 Cantabria;;2015M07;405
Viviendas: Total;Total Nacional;06 Cantabria;;2015M06;385
Viviendas: Total;Total Nacional;06 Cantabria;;2015M05;409
Viviendas: Total;Total Nacional;06 Cantabria;;2015M04;274
Viviendas: Total;Total Nacional;06 Cantabria;;2015M03;274
Viviendas: Total;Total Nacional;06 Cantabria;;2015M02;329
Viviendas: Total;Total Nacional;06 Cantabria;;2015M01;363
Viviendas: Total;Total Nacional;06 Cantabria;;2014M12;349
Viviendas: Total;Total Nacional;06 Cantabria;;2014M11;276
Viviendas: Total;Total Nacional;06 Cantabria;;2014M10;348
Viviendas: Total;Total Nacional;06 Cantabria;;2014M09;353
Viviendas: Total;Total Nacional;06 Cantabria;;2014M08;314
Viviendas: Total;Total Nacional;06 Cantabria;;2014M07;334
Viviendas: Total;Total Nacional;06 Cantabria;;2014M06;306
Viviendas: Total;Total Nacional;06 Cantabria;;2014M05;386
Viviendas: Total;Total Nacional;06 Cantabria;;2014M04;360
Viviendas: Total;Total Nacional;06 Cantabria;;2014M03;297
Viviendas: Total;Total Nacional;06 Cantabria;;2014M02;302
Viviendas: Total;Total Nacional;06 Cantabria;;2014M01;369
Viviendas: Total;Total Nacional;06 Cantabria;;2013M12;285
Viviendas: Total;Total Nacional;06 Cantabria;;2013M11;276
Viviendas: Total;Total Nacional;06 Cantabria;;2013M10;346
Viviendas: Total;Total Nacional;06 Cantabria;;2013M09;255
Viviendas: Total;Total Nacional;06 Cantabria;;2013M08;289
Viviendas: Total;Total Nacional;06 Cantabria;;2013M07;301
Viviendas: Total;Total Nacional;06 Cantabria;;2013M06;292
Viviendas: Total;Total Nacional;06 Cantabria;;2013M05;289
Viviendas: Total;Total Nacional;06 Cantabria;;2013M04;245
Viviendas: Total;Total Nacional;06 Cantabria;;2013M03;243
Viviendas: Total;Total Nacional;06 Cantabria;;2013M02;488
Viviendas: Total;Total Nacional;06 Cantabria;;2013M01;558
Viviendas: Total;Total Nacional;06 Cantabria;;2012M12;357
Viviendas: Total;Total Nacional;06 Cantabria;;2012M11;520
Viviendas: Total;Total Nacional;06 Cantabria;;2012M10;376
Viviendas: Total;Total Nacional;06 Cantabria;;2012M09;377
Viviendas: Total;Total Nacional;06 Cantabria;;2012M08;446
Viviendas: Total;Total Nacional;06 Cantabria;;2012M07;280
Viviendas: Total;Total Nacional;06 Cantabria;;2012M06;349
Viviendas: Total;Total Nacional;06 Cantabria;;2012M05;372
Viviendas: Total;Total Nacional;06 Cantabria;;2012M04;303
Viviendas: Total;Total Nacional;06 Cantabria;;2012M03;358
Viviendas: Total;Total Nacional;06 Cantabria;;2012M02;350
Viviendas: Total;Total Nacional;06 Cantabria;;2012M01;462
Viviendas: Total;Total Nacional;06 Cantabria;;2011M12;386
Viviendas: Total;Total Nacional;06 Cantabria;;2011M11;467
Viviendas: Total;Total Nacional;06 Cantabria;;2011M10;366
Viviendas: Total;Total Nacional;06 Cantabria;;2011M09;453
Viviendas: Total;Total Nacional;06 Cantabria;;2011M08;493
Viviendas: Total;Total Nacional;06 Cantabria;;2011M07;610
Viviendas: Total;Total Nacional;06 Cantabria;;2011M06;493
Viviendas: Total;Total Nacional;06 Cantabria;;2011M05;684
Viviendas: Total;Total Nacional;06 Cantabria;;2011M04;381
Viviendas: Total;Total Nacional;06 Cantabria;;2011M03;547
Viviendas: Total;Total Nacional;06 Cantabria;;2011M02;784
Viviendas: Total;Total Nacional;06 Cantabria;;2011M01;778
Viviendas: Total;Total Nacional;06 Cantabria;;2010M12;633
Viviendas: Total;Total Nacional;06 Cantabria;;2010M11;524
Viviendas: Total;Total Nacional;06 Cantabria;;2010M10;567
Viviendas: Total;Total Nacional;06 Cantabria;;2010M09;614
Viviendas: Total;Total Nacional;06 Cantabria;;2010M08;729
Viviendas: Total;Total Nacional;06 Cantabria;;2010M07;781
Viviendas: Total;Total Nacional;06 Cantabria;;2010M06;607
Viviendas: Total;Total Nacional;06 Cantabria;;2010M05;598
Viviendas: Total;Total Nacional;06 Cantabria;;2010M04;861
Viviendas: Total;Total Nacional;06 Cantabria;;2010M03;730
Viviendas: Total;Total Nacional;06 Cantabria;;2010M02;718
Viviendas: Total;Total Nacional;06 Cantabria;;2010M01;762
Viviendas: Total;Total Nacional;06 Cantabria;;2009M12;577
Viviendas: Total;Total Nacional;06 Cantabria;;2009M11;599
Viviendas: Total;Total Nacional;06 Cantabria;;2009M10;702
Viviendas: Total;Total Nacional;06 Cantabria;;2009M09;748
Viviendas: Total;Total Nacional;06 Cantabria;;2009M08;654
Viviendas: Total;Total Nacional;06 Cantabria;;2009M07;695
Viviendas: Total;Total Nacional;06 Cantabria;;2009M06;699
Viviendas: Total;Total Nacional;06 Cantabria;;2009M05;743
Viviendas: Total;Total Nacional;06 Cantabria;;2009M04;727
Viviendas: Total;Total Nacional;06 Cantabria;;2009M03;666
Viviendas: Total;Total Nacional;06 Cantabria;;2009M02;575
Viviendas: Total;Total Nacional;06 Cantabria;;2009M01;570
Viviendas: Total;Total Nacional;06 Cantabria;;2008M12;567
Viviendas: Total;Total Nacional;06 Cantabria;;2008M11;612
Viviendas: Total;Total Nacional;06 Cantabria;;2008M10;566
