Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2019M03;21.520.914
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2019M02;16.589.486
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2019M01;15.506.154
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M12;16.655.848
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M11;18.261.076
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M10;31.132.356
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M09;37.768.667
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M08;46.306.240
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M07;42.717.096
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M06;36.168.465
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M05;31.921.157
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M04;25.207.350
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M03;21.918.931
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M02;16.527.859
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2018M01;15.395.882
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M12;16.211.799
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M11;17.537.436
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M10;30.898.617
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M09;37.961.599
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M08;46.657.187
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M07;43.624.461
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M06;36.646.402
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M05;31.439.920
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M04;27.549.426
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M03;20.508.641
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M02;16.346.534
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2017M01;15.200.690
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M12;16.013.165
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M11;17.134.705
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M10;30.587.997
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M09;37.218.422
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M08;46.502.956
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M07;42.948.946
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M06;34.430.872
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M05;30.401.275
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M04;23.056.973
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M03;22.022.933
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M02;16.379.849
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2016M01;14.470.851
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M12;15.043.365
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M11;15.862.738
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M10;28.073.790
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M09;34.918.861
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M08;44.813.404
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M07;39.850.064
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M06;32.092.513
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M05;28.041.622
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M04;23.087.381
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M03;18.596.568
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M02;14.513.335
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2015M01;13.342.087
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M12;14.041.916
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M11;15.113.125
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M10;26.243.441
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M09;33.858.937
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M08;42.991.384
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M07;37.641.540
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M06;31.567.799
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M05;26.691.702
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M04;22.298.622
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M03;18.129.451
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M02;13.875.208
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2014M01;12.807.505
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M12;13.595.795
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M11;15.087.587
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M10;25.015.770
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M09;32.647.844
